#
#"pp"	"Mode 1 - GHz"
#-------------------
0.00000000000000	0.00044989335238836
9.4736842105263	1.3394062167820
18.947368421053	2.6786643799488
28.421052631579	4.0176293565239
37.894736842105	5.3561423044703
47.368421052632	6.6940401921579
56.842105263158	8.0311445014674
66.315789473684	9.3672556213895
75.789473684211	10.702142631394
85.263157894737	12.035529814320
94.736842105263	13.367058338853
104.21052631579	14.696265791976
113.68421052632	16.022469440314
123.15789473684	17.344633109932
132.63157894737	18.661081721642
142.10526315789	19.968239489217
151.57894736842	21.259072840477
161.05263157895	22.513656453304
170.52631578947	23.655896889923
180.00000000000	24.270542888652
#
#"pp"	"Mode 2 - GHz"
#-------------------
0.00000000000000	47.911126003686
9.4736842105263	47.569659875869
18.947368421053	46.764970426485
28.421052631579	45.747206186906
37.894736842105	44.625110850766
47.368421052632	43.445278744815
56.842105263158	42.230207251121
66.315789473684	40.991968016860
75.789473684211	39.737620530821
85.263157894737	38.471612818450
94.736842105263	37.196971142282
104.21052631579	35.915939549785
113.68421052632	34.630416624429
123.15789473684	33.342296239836
132.63157894737	32.053894786391
142.10526315789	30.769122249673
151.57894736842	29.495436585245
161.05263157895	28.252974341950
170.52631578947	27.118005269798
180.00000000000	26.505813786904
