#
#"phaseX"	"Mode 1 - GHz"
#-----------------------
1.0000000000000	0.023323643500403
36.950000000000	1.7410606796749
72.900000000000	3.4348404989771
108.85000000000	5.1278447040942
144.80000000000	6.8200285907912
180.75000000000	8.4420410246227
216.70000000000	6.7500024263885
252.65000000000	5.0576796021773
288.60000000000	3.3640098250486
324.55000000000	1.6696923204055
360.50000000000	0.033804387944124
396.45000000000	1.7174962504764
432.40000000000	3.4112848090563
468.35000000000	5.1042979860596
504.30000000000	6.7964942133869
540.25000000000	8.4657459815288
576.20000000000	6.7735264285624
612.15000000000	5.0812284858505
648.10000000000	3.3875707059379
684.05000000000	1.6932524721796
720.00000000000	0.041291987445732
#
#"phaseX"	"Mode 2 - GHz"
#-----------------------
1.0000000000000	16.855243967697
36.950000000000	15.180589498409
72.900000000000	13.500868660548
108.85000000000	11.817171285938
144.80000000000	10.130374196634
180.75000000000	8.5077016893687
216.70000000000	10.200430867281
252.65000000000	11.887332255681
288.60000000000	13.570958280595
324.55000000000	15.250576492639
360.50000000000	16.878135247072
396.45000000000	15.203917971715
432.40000000000	13.524260994522
468.35000000000	11.840612275179
504.30000000000	10.153854607565
540.25000000000	8.4838976341354
576.20000000000	10.176946450744
612.15000000000	11.863891597843
648.10000000000	13.547567387166
684.05000000000	15.227248914186
720.00000000000	16.900246129516
#
#"phaseX"	"Mode 3 - GHz"
#-----------------------
1.0000000000000	16.948061924748
36.950000000000	18.613505549750
72.900000000000	20.264152436801
108.85000000000	21.882681325238
144.80000000000	23.396114435968
180.75000000000	24.260888110323
216.70000000000	23.338085214049
252.65000000000	21.816294296293
288.60000000000	20.195810718603
324.55000000000	18.544305536263
360.50000000000	16.924722362691
396.45000000000	18.590422756370
432.40000000000	20.241350180945
468.35000000000	21.860576482041
504.30000000000	23.376852090202
540.25000000000	24.261357859648
576.20000000000	23.357519750484
612.15000000000	21.838430736947
648.10000000000	20.218623356615
684.05000000000	18.567395822545
720.00000000000	16.901532782772
#
#"phaseX"	"Mode 4 - GHz"
#-----------------------
1.0000000000000	33.703830082287
36.950000000000	32.077357996033
72.900000000000	30.456101337082
108.85000000000	28.858203836575
144.80000000000	27.356990707880
180.75000000000	26.497040113277
216.70000000000	27.414680386325
252.65000000000	28.923878693295
288.60000000000	30.523479145996
324.55000000000	32.145186761156
360.50000000000	33.726608766313
396.45000000000	32.099967163412
432.40000000000	30.478556249910
468.35000000000	28.880080688534
504.30000000000	27.376140861912
540.25000000000	26.496598601770
576.20000000000	27.395365611324
612.15000000000	28.901972915443
648.10000000000	30.501016519636
684.05000000000	32.122575966074
720.00000000000	33.749169348067
#
#"phaseX"	"Mode 5 - GHz"
#-----------------------
1.0000000000000	33.794371204115
36.950000000000	35.418873292415
72.900000000000	37.036930892938
108.85000000000	38.644783153286
144.80000000000	40.237803159197
180.75000000000	41.744123770488
216.70000000000	40.171709650877
252.65000000000	38.577955372337
288.60000000000	36.969594641390
324.55000000000	35.351196946497
360.50000000000	33.771820833889
396.45000000000	35.396315260637
432.40000000000	37.014487354184
468.35000000000	38.622510028246
504.30000000000	40.215776077823
540.25000000000	41.765796996496
576.20000000000	40.193744914296
612.15000000000	38.600234121277
648.10000000000	36.992042058752
684.05000000000	35.373757388137
720.00000000000	33.749778711241
#
#"phaseX"	"Mode 6 - GHz"
#-----------------------
1.0000000000000	47.851497069162
36.950000000000	47.303108200308
72.900000000000	46.150758934068
108.85000000000	44.768734752384
144.80000000000	43.283772417273
180.75000000000	41.809124770382
216.70000000000	43.347036407799
252.65000000000	44.828950418044
288.60000000000	46.204824829943
324.55000000000	47.342135773615
360.50000000000	47.851844267033
396.45000000000	47.316228347438
432.40000000000	46.168822459656
468.35000000000	44.788825761418
504.30000000000	43.304870729330
540.25000000000	41.787464031189
576.20000000000	43.325958755563
612.15000000000	44.808897712097
648.10000000000	46.186844594262
684.05000000000	47.329238084241
720.00000000000	47.851976309253
#
#"phaseX"	"Mode 7 - GHz"
#-----------------------
1.0000000000000	49.912948828444
36.950000000000	49.940505203723
72.900000000000	50.019843349794
108.85000000000	50.150449894583
144.80000000000	50.331306509414
180.75000000000	50.550412004027
216.70000000000	50.322780810699
252.65000000000	50.143988693175
288.60000000000	50.015502835388
324.55000000000	49.938318681371
360.50000000000	49.912963066295
396.45000000000	49.939766548497
432.40000000000	50.018386470267
468.35000000000	50.148285868370
504.30000000000	50.328452711791
540.25000000000	50.553913786292
576.20000000000	50.325615774074
612.15000000000	50.146133238806
648.10000000000	50.016939854689
684.05000000000	49.939037341229
720.00000000000	49.913005821359
